codice-isil;codice-sbn;denominazione;indirizzo;frazione;cap;comune;codice istat comune;provincia;regione;codice istat provincia;latitudine;longitudine;telefono;fax;email;url
IT-AG0001;AGR27;Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi;Contrada S. Nicola;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3361677;13,5880717;+39 0922595830;;;
IT-AG0005;;Biblioteca dell'Archivio di Stato di Agrigento;Via Mazzini 185;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3221644312329;13,5886026454773;+39 0922602494;+39 0922613242;as-ag@beniculturali.it;http://www.archiviodistatoagrigento.beniculturali.it/index.php?it/1/home
IT-AG0006;PBED8;Biblioteca del Seminario vescovile;Piazza don Minzoni;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3137125;13,5749656;+39 092220226;+39 0922490024;;
IT-AG0007;AGR01;Biblioteca Comunale Franco La Rocca;piazzale Aldo Moro, 3;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3095818;13,586151;0922595166;+39 0922401246;biblioteca.larocca@comune.agrigento.it;http://www.opacagrigento.it/biblioteche/bi_1.html
IT-AG0008;;Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti;via BELVEDERE 127;Giardina Gallotti;92010;Agrigento;084001;Agrigento;SICILIA;084;37,4050904;13,5291051;0922410117;;;
IT-AG0010;AGR03;BIBLIOTECA COMUNALE SALVATORE CACCIATORE PARTIGIANO CIRO;piazza UMBERTO I 2/B;;92021;Aragona;084003;Agrigento;SICILIA;084;37,4800295;13,5458603;092237170;+39 0922690908;biblioteca.comunale@comune.aragona.ag.it;http://www.opacagrigento.it/biblioteche/aragon.html
IT-AG0012;;Biblioteca comunale;via COSSENTINO;;92010;Caltabellotta;084007;Agrigento;SICILIA;084;37,5768578;13,2157946;0925952470;;;
IT-AG0014;AGR04;BIBLIOTECA COMUNALE MONSIGNOR DOMENICO DE GREGORIO;via DEI GIARDINI;;92022;Cammarata;084009;Agrigento;SICILIA;084;37,6308269;13,6371923;0922905669;+39 0922901704;biblioteca@comune.cammarata.ag.it;
IT-AG0017;;Biblioteca comunale;via Collegio 68;;92011;Cattolica Eraclea;084014;Agrigento;SICILIA;084;37,438755;13,3952266;0922849262;;;http://www2.comune.cattolicaeraclea.ag.it/cattolicaera/zf/index.php/uffici/index/detail/id/3
IT-AG0018;AGR06;Biblioteca comunale Paolo Borsellino;"Corso commentatore ""Cinquemani Arcuri""";;92012;Cianciana;084015;Agrigento;SICILIA;084;37,5170386;13,4353688;0922987134;;caramazza.mario@virgilio.it;
IT-AG0019;AGR07;Biblioteca Comunale;via Gravina, 11;;92020;Comitini;084016;Agrigento;SICILIA;084;37,408845;13,644007;0922600359;+39 0922600386;biblioteca@comune.comitini.ag.it;
IT-AG0022;AGR08;Biblioteca Comunale Barone Antonio Mendola;piazza CAVOUR 56;;92026;Favara;084017;Agrigento;SICILIA;084;37,3147813;13,6604992;0922448505;+39 0922448500;biblioteca.barone.mendola@comune.favara.ag.it;
IT-AG0024;AGR09;Biblioteca comunale Martin Luther King;viale della Vittoria;;92020;Grotte;084018;Agrigento;SICILIA;084;37,4022828;13,6953813;0922943109;;;
IT-AG0025;;Biblioteca comunale;via Alcide De Gasperi, 23;;92010;Joppolo Giancaxio;084019;Agrigento;SICILIA;084;37,3880747;13,5559932;+390922631083;;segreteria@comune.joppologiancaxio.ag.it;
IT-AG0027;;Biblioteca Comunale Piersanti Mattarella;corso Vittorio Emanuele, 123;;92010;Lucca Sicula;084022;Agrigento;SICILIA;084;37,578927;13,3069809;3202981132;+39 092560585;culturale2007@libero.it;
IT-AG0029;AGR11;Istituzione Culturale Federico II;via C. Ognibene, 4;;92013;Menfi;084023;Agrigento;SICILIA;084;37,597988;12,969909;092570500;+39 092570502;istituzione@comune.menfi.ag.it;www.istituzionefedericoII.ITù
IT-AG0030;;Biblioteca Comunale Antonio Gramsci;viale DELLA VITTORIA 113;;92010;Montallegro;084024;Agrigento;SICILIA;084;37,3890414;13,3519453;0922845067;;bibliotecamontallegro@hotmail.it;
IT-AG0031;AGR12;Biblioteca Comunale Feliciana;piazza Garibaldi;;92028;Naro;084026;Agrigento;SICILIA;084;37,296198;13,7916905;+390922953020;+39 0922957324;info@comune.naro.ag.it;
IT-AG0034;AGR19;Biblioteca comunale Vincenzo Navarro;via P. Caruso;;92017;Sambuca di Sicilia;084034;Agrigento;SICILIA;084;37,647385;13,111555;0925940234;;biblioteca@comune.sambucadisicilia.ag.it;
IT-AG0036;;Biblioteca comunale;corso Umberto I 54;;92020;San Biagio Platani;084035;Agrigento;SICILIA;084;37,5093493;13,526349;0922918904;;ufficio.segreteria706@virgilio.it;www.comunesanbiagioplatani.it
IT-AG0037;AGR20;Biblioteca Comunale;via Omero;;92020;San Giovanni Gemini;084036;Agrigento;SICILIA;084;37,6304656;13,6498055;0922900082;+39 0922903336;a.martorana@comune.sangiovannigemini.ag.it;
IT-AG0038;;Biblioteca Comunale;piazza UMBERTO I;;92020;Sant'Angelo Muxaro;084039;Agrigento;SICILIA;084;37,4803233;13,5461917;0922919518;+39 0922919805;;
IT-AG0039;AGR22;Biblioteca Comunale;via Regione siciliana, 20;;92018;Santa Margherita di Belice;084038;Agrigento;SICILIA;084;37,6966292;13,015239;092533403;+39 092533403;biblioteca@comune.santamargheritadibelice.ag.it;
IT-AG0040;;Biblioteca comunale G. Ansalone;piazza San Giordano Ansalone, 1;;92020;Santo Stefano Quisquina;084040;Agrigento;SICILIA;084;37,623834;13,4912204;0922099012;;bibliotecassq@hotmail.com;
IT-AG0042;AGR23;"Biblioteca Comunale ""Aurelio Cassar""";Via Roma 13;;92019;Sciacca;084041;Agrigento;SICILIA;084;37,5077263;13,0829023;;+39 092220447;biblioteca@comunedisciacca.it;http://lnx.comune.sciacca.ag.it/biblioteca-comunale-2/
IT-AG0043;;Biblioteca comunale Giuseppe Antonio Musso;via Campi;;92020;Villafranca Sicula;084043;Agrigento;SICILIA;084;37,5864134;13,2906319;;;;
IT-AG0051;AGR02;Biblioteca Comunale Falcone - Borsellino;piazza Luigi Ingo, 6;;92010;Alessandria della Rocca;084002;Agrigento;SICILIA;084;37,5321098;13,4362895;0922981871;+39 0922985337;biblales@libero.it;
IT-AG0053;;Biblioteca comunale;Via Palestrina;;92021;Aragona;084003;Agrigento;SICILIA;084;37,4044279;13,6184829;+39 092237170;;;
IT-AG0058;AGR29;Biblioteca comunale;Via Cavallotti 9;;92024;Canicattì;084011;Agrigento;SICILIA;084;37,3585208;13,8492245;+39 0922734503;+39 0922734503;;http://www.comune.canicatti.ag.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/428
IT-AG0060;;Biblioteca Comunale Francesco Lo Bue;via G. Matteotti;;92025;Casteltermini;084012;Agrigento;SICILIA;084;37,5375563;13,6407823;+390922929001;;biblio.casteltermini@virgilio.it;www.comune.casteltermini.ag.it
IT-AG0064;;Biblioteca comunale;Piazza della Repubblica 7;;92010;Montevago;084025;Agrigento;SICILIA;084;37,7026377;12,9901325;+39 092538008;+39 092538689;;
IT-AG0065;AGR13;Biblioteca Comunale Giovanni Falcone;via Carlo Marx, 3;;92020;Palma di Montechiaro;084027;Agrigento;SICILIA;084;37,19741080000001;13,7581674;0922968399;+39 0922968399;biblioteca@comune.palmadimontechiaro.ag.it;
IT-AG0066;AGR14;Biblioteca comunale;Palazzo comunale - Via Roma;;92014;Porto Empedocle;084028;Agrigento;SICILIA;084;37,2885843;13,5280378;+39 0922637837;;;
IT-AG0067;AGR15;Biblioteca comunale;via Messana;;92020;Racalmuto;084029;Agrigento;SICILIA;084;37,4069215;13,7327047;0922941852;;;
IT-AG0068;;Biblioteca popolare Virtus Matrice;Via della Repubblica 2;;92020;Racalmuto;084029;Agrigento;SICILIA;084;37,40868;13,732503;+39 0922948028;;;
IT-AG0072;AGR21;Biblioteca comunale;corso Umberto 45;;92020;Santa Elisabetta;084037;Agrigento;SICILIA;084;37,431386;13,558815;0922479169;;;
IT-AG0078;AGR24;Biblioteca della Provincia regionale di Agrigento Gaspare Ambrosini;piazzale Aldo Moro, 1;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3104962;13,585672;0922593207;;biblioteca@provincia.agrigento.it;www.provincia.agrigento.it
IT-AG0085;AGR28;Biblioteca Lucchesiana;via DUOMO 94;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3135702;13,577717;092222217;;biblioteca.lucchesiana@gmail.com;
IT-AG0089;AGR10;Biblioteca Comunale L. Vitali;piazza Matteotti,1;;92027;Licata;084021;Agrigento;SICILIA;084;37,1011869;13,9373457;0922868228;+39 09221837304;bibliotecalicata@virgilio.it;www.easiwebsive-opac
IT-AG0090;AGR05;Biblioteca comunale;via Sammarco 1;;92023;Campobello di Licata;084010;Agrigento;SICILIA;084;37,2560726;13,9187469;0922879246;;;
IT-AG0091;PALBA;Biblioteca Museo Luigi Pirandello;via IMERA 50;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3124703;13,5857746;0922622111;+39 092221774;polomuseale.ag.uo3@regione.sicilia.it;http://www.regione.sicilia.it/beniculturali/dirbenicult/biblioteche/biblioteche.html#biblioag
IT-AG0093;AGR26;Biblioteca della Fondazione Leonardo Sciascia;viale della Vittoria, 3;;92020;Racalmuto;084029;Agrigento;SICILIA;084;37,4057993;13,7309485;0922941993;+39 0922941993;bibliotecafondazionesciascia@gmail.com;http://www.fondazioneleonardosciascia.it/cms/--/home.htm
IT-AG0095;PAL01;Biblioteca dell'Istituto Comprensivo Anna Frank;via Matteo Cimarra, 5;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3208136;13,5821041;0922603198;+39 0922603167;agic820005@istruzione.it;
IT-AG0096;PAL02;Biblioteca del Circolo didattico S.G. Bosco;Via Dante 258;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,311634;13,5705384;+39 092220717;;sg.bosco@tin.it;
IT-AG0099;AGR25;Biblioteca della Fondazione Giovanni Guarino Amella;Contrada Montagna c.p. 1311;Villa del Buon Riposo;64100;Canicattì;084011;Agrigento;SICILIA;084;37,3586112;13,8477121;+39 0922855200;+39 0916197250;;
