titolo,fonte,URL,nome,tipo,file:formato,file:separatore,cron,cronDescrizione,dataInserimento,licenza,ready,URLinfo,file:encoding,URL:0:URL,URL:0:nome,URL:1:URL,URL:1:nome,URL:2:URL,URL:2:nome,URL:3:URL,URL:3:nome
Lista dei comuni italiani,ISTAT,https://www.istat.it/storage/codici-unita-amministrative/Elenco-comuni-italiani.csv,listaComuniISTAT,singolo,csv,;,0 5 1 * *,il primo giorno del messe alle 00:05,2020-07-03,CC BY 3.0,true,,,,,,,,,,
Carburanti - Anagrafica degli impianti,Ministero sviluppo economico,https://www.mise.gov.it/images/exportCSV/anagrafica_impianti_attivi.csv,carburanteAngragraficaStazioni,singolo,csv,;,5 9 */1 * *,ogni giorno alle 9:05,2020-07-03,IODL 2.0,true,https://www.mise.gov.it/index.php/it/open-data/elenco-dataset/2032336-carburanti-prezzi-praticati-e-anagrafica-degli-impianti,,,,,,,,,
Registro comunicazioni adempimenti ANAC,ANAC,,registroComunicazioniANAC,multiplo,json,,10 0 */1 * *,il primo giorno del mese alle ore 00:10,2020-07-03,IODL,true,https://dati.anticorruzione.it/#/l190,,,,,,,,,
ANPR Archivio comuni,ANPR,,archivioComuniANPR,singolo,csv,",",10 9 * * MON,ogni lunedì alle 9:10,2020-07-05,CC BY 4.0,true,https://www.anpr.interno.it/portale/documents/20182/50186/ANPR_archivio_comuni.csv,UTF-8,,,,,,,,
Lista dataset del portale open data nazionale,portale open data nazionale,https://www.dati.gov.it/api/3/action/package_list,datasetDatiGovIt,singolo,csv,,15 9 */1 * *,ogni giorno alle 9:15,2020-07-07,CC BY 4.0,true,https://dati.gov.it/sviluppatori,UTF-8,,,,,,,,
Anagrafe delle Biblioteche Italiane - Territorio,ICCU - Istituto Centrale per il Catalogo Unico delle Biblioteche Italiane e per le informazioni bibliografiche,http://opendata.anagrafe.iccu.sbn.it/territorio.zip,anagrafeBibliotecheItalianeTerritorio,singolo,csv,;,20 9 */1 * *,ogni giorno alle 9:20,2020-07-14,CC0,true,https://anagrafe.iccu.sbn.it/it/open-data/,UTF-8,,,,,,,,
Dati che alimentano la ANPR Dashboard,Informazioni sullo stato della migrazione ad ANPR,https://dashboard.anpr.it/api/dashboard/data.json,ANPRdatiMigrazione,singolo,json,,25 9 */1 * *,ogni giorno alle 9:25,2020-07-30,CC BY 4.0,true,https://developers.italia.it/it/api/anpr-dashboard,UTF-8,,,,,,,,
Catalogo Repertorio Nazionale Dati Territoriali - RNDT,Sito RNDT,http://geodati.gov.it/RNDT/csw,RNDTcatalogo,singolo,csv,,30 9 1 */1 *,il primo giorno del mese alle 9:30,2020-08-28,CC BY 4.0,true,https://geodati.gov.it/geoportale/servizio-di-ricerca-csw,UTF-8,,,,,,,,
Indice Pubblica Amministazione (IPA),Sito IPA,,indiceIPA,multiplo,csv,,35 9 1 * 2,Alle 9:35 di ogni martedì,2020-09-03,CC BY 4.0,true,https://indicepa.gov.it/documentale/n-consulta-dati.php,UTF-8,https://indicepa.gov.it/public-services/opendata-read-service.php?dstype=FS&filename=amministrazioni.txt,amministrazioni.txt,https://indicepa.gov.it/public-services/opendata-read-service.php?dstype=FS&filename=aoo.txt,aoo.txt,,,,
Catalogo Open Data Indice Pubblica Amministazione (IPA),Catalogo Open Data IPA,,indiceIPACatalogo,multiplo,csv,,45 9 1 * 2,Alle 9:45 di ogni martedì,2021-10-08,CC BY 4.0,true,https://indicepa.gov.it/ipa-dati/,UTF-8,https://indicepa.gov.it/ipa-dati/datastore/dump/d09adf99-dc10-4349-8c53-27b1e5aa97b6?bom=True,enti.csv,https://indicepa.gov.it/ipa-dati/datastore/dump/f1764ae3-7f47-4183-84e4-4c8786cc337f?bom=True,naturaGiuridica.csv,https://indicepa.gov.it/ipa-dati/datastore/dump/84ebb2e7-0e61-427b-a1dd-ab8bb2a84f07?bom=True,codiceCategoria.csv,https://indicepa.gov.it/ipa-dati/datastore/dump/6f0f7122-3312-47ac-a292-7a647986387e?bom=True,codiceAteco.csv
