name,identifier,site,created,region,evento,data,corrente
"comune-arzachena","c_a453","https://www.comune.arzachena.ss.it","2026-02-11T13:52:16.967336","20",ingresso,2026-02-12,1
"asm-costruire-insieme","ciasm","https://www.asmcostruireinsieme.it","2026-01-27T14:55:58.432052","01",ingresso,2026-02-10,1
"comune-di-arbus","c_a359","https://comune.arbus.su.it","2026-02-04T18:52:15.892826","20",ingresso,2026-02-10,1
"comune-di-borghetto-santo-spirito","c_a999","https://comune.borghettosantospirito.sv.it/","2026-02-02T14:31:04.295606","",ingresso,2026-02-10,1
"comune-di-campomarino","c_b550","https://comune.campomarino.cb.it/","2026-01-30T13:35:07.900968","14",ingresso,2026-02-10,1
"comune-di-forte-dei-marmi","c_d730","https://www.comune.fortedeimarmi.lu.it/dataset/riepilogo-transazioni-ed-incassi-pagopa/","2026-01-27T10:22:44.465654","09",ingresso,2026-02-10,1
"comune-di-olgiate-olona","c_g028","https://comune.olgiateolona.va.it/","2026-01-28T13:02:55.645510","",ingresso,2026-02-10,1
"comune-di-quartu-sant-elena","c_h118","https://www.comune.quartu.ca.it","2026-01-27T13:45:12.426644","20",ingresso,2026-02-10,1
"comune-di-sovicille","c_i877","https://www.comune.sovicille.si.it/","2026-01-30T09:52:33.438173","",ingresso,2026-02-10,1
"comune-di-triuggio","c_l434","https://www.opendata.maggioli.cloud/organization/comune-di-triuggio","2026-02-05T15:25:03.085541","03",ingresso,2026-02-10,1
"unione-dei-comuni-media-valle-del-serchio","udcmv_","https://www.ucmediavalle.it/","2026-01-28T12:56:38.434872","",ingresso,2026-02-10,1
"universita-della-basilicata","udsb_pz","http://opendata.unibas.it/","2024-03-08T21:49:59.493611","17",ingresso,2026-02-10,1
"universita-della-basilicata","uni_ba","http://opendata.unibas.it/","2024-03-08T21:49:59.493611","17",uscita,2026-02-10,0
"comune-di-san-gavino-monreale","c_h856","https://www.comune.sangavinomonreale.su.it/","2026-01-22T10:49:54.293347","",ingresso,2026-01-23,1
"comune-di-policoro","c_g786","https://www.policoro.basilicata.it/","2026-01-21T15:10:12.371628","17",ingresso,2026-01-22,1
"comune-di-san-cesario-di-lecce","c_h793","https://comune.sancesariodilecce.le.it","2026-01-12T11:26:22.757449","16",ingresso,2026-01-14,1
"comune-di-campagna","c_b492","https://comune.campagna.sa.it","2026-01-07T13:48:37.771743","15",ingresso,2026-01-10,1
"comune-di-catanzaro","c_c352","https://www.comune.catanzaro.it/","2026-01-07T14:13:22.418870","",ingresso,2026-01-10,1
"comune-di-corbetta","c_c986","https://www.opendata.maggioli.cloud/organization/comune-di-corbetta","2026-01-07T09:05:49.466573","03",ingresso,2026-01-10,1
"comune-di-roggiano-gravina","c_h488","https://www.opendata.maggioli.cloud/organization/comune-di-roggiano-gravina","2026-01-07T09:40:53.432780","18",ingresso,2026-01-10,1
"castelfranco-pian-di-sco","c_cp112","https://www.opendata.maggioli.cloud/organizzation/comune-di-castelfranco-piandisco","2025-11-27T14:32:18.452160","05",uscita,2025-12-27,0
"comune-di-breganze","c_b132","https://www.comune.breganze.vi.it/","2025-12-23T08:06:29.162907","",ingresso,2025-12-27,1
"comune-di-canino","c_b604","https://comune.canino.vt.it/","2025-12-22T14:40:41.214158","12",ingresso,2025-12-27,1
"comune-di-castelfranco-pian-di-sco","c_cp112","https://www.opendata.maggioli.cloud/organizzation/comune-di-castelfranco-piandisco","2025-11-27T14:32:18.452160","05",ingresso,2025-12-27,1
"comune-di-lizzano","c_e630","https://www.comune.lizzano.ta.it","2025-12-19T14:10:30.111548","16",ingresso,2025-12-27,1
"comune-di-piombino-dese","c_g688","https://www.comune.piombinodese.pd.it/","2025-12-19T10:38:59.993791","05",ingresso,2025-12-27,1
"comune-di-santhia","c_i337","https://www.comune.santhia.vc.it/","2025-12-23T08:53:21.415865","",ingresso,2025-12-27,1
