REGIONE,TIPOLOGIA,EROGAZIONE,PREZZO MEDIO
Abruzzo,Gasolio,SELF,1.786
Abruzzo,Benzina,SELF,1.800
Abruzzo,GPL,SERVITO,0.728
Abruzzo,Metano,SERVITO,1.431
Basilicata,Gasolio,SELF,1.805
Basilicata,Benzina,SELF,1.832
Basilicata,GPL,SERVITO,0.716
Basilicata,Metano,SERVITO,1.457
Bolzano,Gasolio,SELF,1.821
Bolzano,Benzina,SELF,1.831
Bolzano,GPL,SERVITO,0.791
Bolzano,Metano,SERVITO,1.508
Calabria,Gasolio,SELF,1.788
Calabria,Benzina,SELF,1.818
Calabria,GPL,SERVITO,0.763
Calabria,Metano,SERVITO,1.546
Campania,Gasolio,SELF,1.760
Campania,Benzina,SELF,1.799
Campania,GPL,SERVITO,0.685
Campania,Metano,SERVITO,1.397
Emilia Romagna,Gasolio,SELF,1.775
Emilia Romagna,Benzina,SELF,1.799
Emilia Romagna,GPL,SERVITO,0.693
Emilia Romagna,Metano,SERVITO,1.388
Friuli Venezia Giulia,Gasolio,SELF,1.783
Friuli Venezia Giulia,Benzina,SELF,1.801
Friuli Venezia Giulia,GPL,SERVITO,0.708
Friuli Venezia Giulia,Metano,SERVITO,1.335
Lazio,Gasolio,SELF,1.761
Lazio,Benzina,SELF,1.783
Lazio,GPL,SERVITO,0.701
Lazio,Metano,SERVITO,1.536
Liguria,Gasolio,SELF,1.791
Liguria,Benzina,SELF,1.807
Liguria,GPL,SERVITO,0.780
Liguria,Metano,SERVITO,1.461
Lombardia,Gasolio,SELF,1.763
Lombardia,Benzina,SELF,1.782
Lombardia,GPL,SERVITO,0.695
Lombardia,Metano,SERVITO,1.415
Marche,Gasolio,SELF,1.759
Marche,Benzina,SELF,1.775
Marche,GPL,SERVITO,0.739
Marche,Metano,SERVITO,1.471
Molise,Gasolio,SELF,1.784
Molise,Benzina,SELF,1.806
Molise,GPL,SERVITO,0.739
Molise,Metano,SERVITO,1.429
Piemonte,Gasolio,SELF,1.762
Piemonte,Benzina,SELF,1.784
Piemonte,GPL,SERVITO,0.695
Piemonte,Metano,SERVITO,1.440
Puglia,Gasolio,SELF,1.765
Puglia,Benzina,SELF,1.809
Puglia,GPL,SERVITO,0.685
Puglia,Metano,SERVITO,1.452
Sardegna,Gasolio,SELF,1.789
Sardegna,Benzina,SELF,1.811
Sardegna,GPL,SERVITO,0.839
Sicilia,Gasolio,SELF,1.756
Sicilia,Benzina,SELF,1.800
Sicilia,GPL,SERVITO,0.779
Sicilia,Metano,SERVITO,1.693
Toscana,Gasolio,SELF,1.769
Toscana,Benzina,SELF,1.787
Toscana,GPL,SERVITO,0.714
Toscana,Metano,SERVITO,1.553
Trento,Gasolio,SELF,1.793
Trento,Benzina,SELF,1.801
Trento,GPL,SERVITO,0.745
Trento,Metano,SERVITO,1.419
Umbria,Gasolio,SELF,1.770
Umbria,Benzina,SELF,1.792
Umbria,GPL,SERVITO,0.734
Umbria,Metano,SERVITO,1.406
Valle d'Aosta,Gasolio,SELF,1.818
Valle d'Aosta,Benzina,SELF,1.821
Valle d'Aosta,GPL,SERVITO,0.839
Veneto,Gasolio,SELF,1.751
Veneto,Benzina,SELF,1.775
Veneto,GPL,SERVITO,0.694
Veneto,Metano,SERVITO,1.400
