message	status	status_ext	url	job_id
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
			https://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/11260	spn2-4d2bf12c8cf889efa2982f61b48b81812c37ced2
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
			https://www.cciss.it/web/cciss/database-rds-tmc	spn2-9f4bf8cd03108d58902479ea3c9ac0a97058e0d7
The same snapshot had been made 2 hours, 37 minutes, 18 seconds ago. You can make new capture of this URL after 24 hours.			https://github.com/pcm-dpc/COVID-19-Verbali-CTS/blob/master/elenco-verbali.md	
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
			https://www.agid.gov.it/it/agenzia/difensore-civico-il-digitale/segnalazioni-cad/inviti-pa	spn2-9aebfc95c3157e19b5b4083b60fe956a46a714d6
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
			https://www.agenas.gov.it/covid19/web/index.php?r=site/tab2	spn2-7597df8aee8fc56719fbf8b73b076c466863f8c1
			http://www.governo.it/it/coronavirus-normativa	spn2-7ecd6c43ea27f05202e372e53092715e480452fd
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
The same snapshot had been made 287 hours, 51 minutes, 56 seconds ago. You can make new capture of this URL after 360 hours.			https://parlamento18.camera.it/199	
			https://www.rgs.mef.gov.it/VERSIONE-I/e_government/amministrazioni_pubbliche/siope/codici_degli_enti/	spn2-935dfc14d12dca3a8c9919c6bbb5b4eb1f75561d
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
The same snapshot had been made 186 hours, 33 minutes, 15 seconds ago. You can make new capture of this URL after 720 hours.			https://ec.europa.eu/eurostat/web/nuts/history	
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
			https://www.aifa.gov.it/liste-dei-farmaci	spn2-be3199ec772c9b1d0e7276ebe413dda800bda5a8
			http://www.libertaciviliimmigrazione.dlci.interno.gov.it/it/documentazione/statistica/cruscotto-statistico-giornaliero	spn2-1c4e134232efb5a49789e182db0d27eba6a0287e
The same snapshot had been made 288 hours, 57 minutes, 27 seconds ago. You can make new capture of this URL after 720 hours.			http://ucs.interno.gov.it/ucs/contenuti/Numero_dei_delitti_denunciati_all_autorita_giudiziaria_dalle_forze_di_polizia_int_00062-7730889.htm	
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
			https://italiadomani.gov.it/it/strumenti/documenti/jcr:content/root/container/documentssearch.searchResults.html?orderby=%40jcr%3Acontent%2Fdate	spn2-109ed8562b05886265314f397f73b0c8ca1143c0
The same snapshot had been made 263 hours, 25 minutes, 58 seconds ago. You can make new capture of this URL after 720 hours.			https://www.istat.it/mappa-rischi/getReport.php?paramsSelected%5Btoken%5D=eyJhbGciOiAiSFMyNTYiLCJ0eXAiOiAiSldUIn0=.eyJhcHAiOiJtYXBwYVJpc2NoaSIsIm5hbWUiOiJJc3RhdCJ9.uaAgKbzg57x15GkGvBIneXLAVTk0M0jVv4yjf95MYZU=	
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
"This URL has been already captured 10 times today. Please try again tomorrow. Please email us at ""info@archive.org"" if you would like to discuss this more."	error	error:too-many-daily-captures		
			http://www.libertaciviliimmigrazione.dlci.interno.gov.it/it/documentazione/statistica/cruscotto-statistico-giornaliero	spn2-1c4e134232efb5a49789e182db0d27eba6a0287e
			https://www.lavoro.gov.it/temi-e-priorita/immigrazione/focus-on/minori-stranieri/Pagine/Dati-minori-stranieri-non-accompagnati.aspx	spn2-c75afc86ed7ccf751042a70ab73a4b4e22707ec3
